Role,Skills,Salary,Experience,Industry,Year
Cloud Engineer,"Power BI, Tableau",477348,10,Retail,2025
Data Analyst,"NLP, TensorFlow, Docker, MLOps, SQL",544577,3,Finance,2025
Software Engineer,"Java, Tableau, MLOps, Machine Learning",1757390,3,Healthcare,2022
Data Analyst,"Java, AWS, Python",1138747,1,Education,2023
Software Engineer,"Pandas, NLP",1982371,0,Finance,2023
ML Engineer,"Machine Learning, GenAI",1789644,10,Education,2022
ML Engineer,"Tableau, C++, AWS, Deep Learning",1695648,8,Retail,2022
Software Engineer,"Java, Machine Learning, GenAI, AWS",2057964,1,Healthcare,2024
ML Engineer,"MLOps, AWS",2316859,7,Finance,2025
AI Engineer,"Power BI, Java, Machine Learning",1909246,5,IT,2023
ML Engineer,"MLOps, Tableau, Python",1421899,7,Finance,2023
Cybersecurity Analyst,"Machine Learning, NLP, MLOps, TensorFlow",2051975,0,Finance,2022
AI Engineer,"TensorFlow, Tableau, Machine Learning, C++",456534,6,Retail,2025
Software Engineer,"SQL, Pandas, Deep Learning, Docker",816694,6,Retail,2022
Data Scientist,"Python, Deep Learning",2270869,4,Finance,2022
Data Scientist,"Java, NLP, Pandas",693328,9,Healthcare,2024
Software Engineer,"NLP, Machine Learning, Python, Deep Learning, Docker",2248533,9,Education,2024
Cloud Engineer,"Java, Python, C++, AWS",2098060,3,Education,2026
ML Engineer,"GenAI, Machine Learning, Python, Deep Learning",2222229,3,IT,2022
Cybersecurity Analyst,"Java, C++, AWS",1592381,10,Healthcare,2023
ML Engineer,"GenAI, Python",828321,9,Healthcare,2025
AI Engineer,"SQL, Tableau, Docker, AWS, Power BI",1866009,6,Education,2026
Data Analyst,"Machine Learning, C++, Docker, NLP, Java",2404351,10,Retail,2026
Cloud Engineer,"SQL, Deep Learning",808220,8,Retail,2025
Software Engineer,"Pandas, Docker, Deep Learning, Tableau, Machine Learning",572658,8,Education,2023
Cybersecurity Analyst,"SQL, AWS, Java, C++",1726236,10,Education,2022
Data Scientist,"Machine Learning, SQL, Java, Tableau",2278712,0,IT,2026
Software Engineer,"AWS, Power BI, Tableau",1059014,1,Healthcare,2026
ML Engineer,"GenAI, NLP, TensorFlow, Java, Python",1245859,5,IT,2023
Data Analyst,"NLP, Java, Power BI, Deep Learning, C++",2325838,5,Healthcare,2022
ML Engineer,"Power BI, Machine Learning, GenAI, SQL, TensorFlow",2128271,0,Finance,2025
Data Analyst,"Docker, MLOps",1241042,6,Retail,2024
AI Engineer,"GenAI, Java, Deep Learning, Docker, AWS",553133,6,Healthcare,2024
Software Engineer,"C++, GenAI, MLOps, Java, Docker",337304,10,IT,2023
Data Scientist,"AWS, Power BI, Docker",1604556,8,Finance,2026
Cybersecurity Analyst,"Deep Learning, Docker",2255931,8,Retail,2024
Data Scientist,"Java, SQL",387212,0,Retail,2022
Software Engineer,"Deep Learning, TensorFlow, GenAI",737023,8,Finance,2025
Cloud Engineer,"GenAI, AWS, Java, Machine Learning, MLOps",1616498,1,Finance,2026
Data Analyst,"Pandas, GenAI, Machine Learning, NLP",508222,1,IT,2024
Data Scientist,"AWS, Python, SQL, Deep Learning, Tableau",1715776,2,Healthcare,2026
Data Scientist,"Pandas, Tableau",1800440,5,IT,2026
ML Engineer,"SQL, Deep Learning, TensorFlow, AWS",1718209,8,Education,2023
Software Engineer,"Tableau, Java, MLOps",1831627,4,IT,2024
Data Scientist,"Docker, AWS, Python, GenAI, Pandas",1539427,6,Education,2026
Cloud Engineer,"Docker, MLOps",1225188,9,Retail,2022
Cybersecurity Analyst,"NLP, Power BI",1858090,3,Finance,2025
Cybersecurity Analyst,"SQL, Machine Learning, MLOps, Deep Learning, NLP",693958,2,IT,2026
Data Analyst,"Deep Learning, TensorFlow, GenAI, Tableau",2017568,3,Finance,2024
Cybersecurity Analyst,"Pandas, Tableau, MLOps, SQL",994537,0,Finance,2024
Cloud Engineer,"Machine Learning, Deep Learning, Power BI",574341,0,Healthcare,2024
Software Engineer,"Tableau, C++",1052703,10,Healthcare,2022
Software Engineer,"Tableau, NLP, AWS, GenAI, Docker",1787964,7,Healthcare,2024
AI Engineer,"Java, Python, Deep Learning, MLOps",1861779,9,Healthcare,2024
Data Scientist,"Python, Java, C++",1680584,1,Healthcare,2026
AI Engineer,"Machine Learning, C++, Python, Deep Learning",773405,9,Healthcare,2026
Data Scientist,"Pandas, Deep Learning, Docker, Machine Learning, NLP",1528450,0,Retail,2025
Software Engineer,"MLOps, Deep Learning, C++, TensorFlow",802564,7,Healthcare,2023
Data Analyst,"SQL, NLP, C++, Docker",894125,7,Healthcare,2023
Cloud Engineer,"Tableau, Machine Learning",2181609,6,Finance,2022
ML Engineer,"C++, GenAI, Java",2464353,9,Healthcare,2023
AI Engineer,"SQL, Pandas, AWS, Deep Learning, Docker",1080413,9,Education,2023
Cybersecurity Analyst,"Tableau, Python, Docker, MLOps",1655062,3,Finance,2024
Software Engineer,"Docker, Python, NLP",2070161,5,Retail,2022
AI Engineer,"Tableau, TensorFlow",1761482,1,Retail,2026
Data Scientist,"GenAI, NLP, TensorFlow, Deep Learning",1121132,4,Education,2022
Data Scientist,"AWS, MLOps",1007106,2,Retail,2025
Data Scientist,"MLOps, Deep Learning, Machine Learning, AWS, Docker",2133029,8,IT,2024
ML Engineer,"Tableau, NLP, Machine Learning, C++",486875,9,IT,2026
Software Engineer,"Deep Learning, MLOps",1254380,6,Healthcare,2023
AI Engineer,"C++, Machine Learning, Power BI",2375549,6,IT,2025
Data Analyst,"TensorFlow, Deep Learning, NLP, Power BI",1810198,10,Healthcare,2022
AI Engineer,"AWS, GenAI, Pandas, Deep Learning, Docker",2084400,7,Retail,2026
ML Engineer,"Python, C++, Power BI, SQL, Java",613582,9,Retail,2025
Software Engineer,"NLP, Machine Learning",681523,4,Healthcare,2025
ML Engineer,"Power BI, Docker, TensorFlow",789663,0,IT,2022
Cloud Engineer,"AWS, NLP, Java, Machine Learning",1396733,0,IT,2026
Cybersecurity Analyst,"Deep Learning, MLOps, Java",1266069,9,Retail,2022
Cloud Engineer,"Deep Learning, SQL",2299896,0,Finance,2025
ML Engineer,"Java, C++, GenAI, Docker",318433,7,Education,2023
Data Analyst,"GenAI, NLP, AWS",1861064,2,Education,2023
AI Engineer,"NLP, Python",2294521,5,IT,2024
Software Engineer,"Java, NLP, Python, AWS, Pandas",1321115,10,Education,2023
Data Scientist,"MLOps, GenAI, Java, Python, NLP",1355499,1,IT,2023
Data Scientist,"MLOps, Python, Power BI, GenAI",1823296,1,Healthcare,2024
Data Analyst,"Python, MLOps, Java, C++",874946,0,Healthcare,2024
Data Scientist,"NLP, AWS, Tableau, MLOps, Python",1007637,1,Education,2022
AI Engineer,"AWS, Java, C++, TensorFlow, GenAI",1942407,5,IT,2026
AI Engineer,"C++, Deep Learning, Tableau, SQL",2264658,7,Healthcare,2023
Data Analyst,"C++, Pandas, SQL",1358291,1,Finance,2025
Data Scientist,"Tableau, AWS, TensorFlow, MLOps, C++",2366938,5,Finance,2024
Data Scientist,"Machine Learning, MLOps, Power BI",786383,7,IT,2025
Data Scientist,"AWS, GenAI",2471098,9,Retail,2023
Software Engineer,"Deep Learning, NLP, SQL, MLOps",2071879,0,Retail,2023
Data Scientist,"Deep Learning, Python",438793,6,Education,2022
Data Analyst,"MLOps, GenAI, NLP, Java",1333154,4,Healthcare,2024
Data Scientist,"Docker, Python, Deep Learning",2389232,6,Healthcare,2023
AI Engineer,"Machine Learning, Pandas, Tableau, Java",435835,10,IT,2025
Data Analyst,"Python, Java, Docker",2430903,9,Retail,2022
Software Engineer,"Java, NLP, Docker",522877,6,Finance,2025
Software Engineer,"Java, SQL, TensorFlow",1161858,0,Retail,2022
AI Engineer,"Power BI, AWS, Pandas",1374998,8,Finance,2025
AI Engineer,"TensorFlow, Python, C++, SQL",2081976,7,IT,2022
Data Analyst,"AWS, MLOps, Pandas, Machine Learning, Tableau",2054559,6,IT,2024
Cloud Engineer,"Tableau, SQL, Python, NLP",2105504,10,IT,2024
Data Scientist,"Deep Learning, AWS, Java",2330425,2,Retail,2026
ML Engineer,"TensorFlow, Machine Learning, Tableau, Deep Learning, GenAI",1044253,5,Healthcare,2024
AI Engineer,"NLP, Docker, C++",2406627,8,IT,2026
Cloud Engineer,"Pandas, GenAI, Deep Learning, C++, TensorFlow",1283400,6,Education,2026
ML Engineer,"Java, NLP, C++, SQL",1433735,6,IT,2022
Cloud Engineer,"Docker, Java, C++, Deep Learning, SQL",958551,9,Healthcare,2022
Data Analyst,"MLOps, Power BI, NLP, Tableau",2472536,3,Finance,2025
Data Scientist,"TensorFlow, C++",1470399,0,Healthcare,2024
AI Engineer,"C++, Pandas, Java, TensorFlow, Machine Learning",1091234,10,Finance,2025
Data Analyst,"C++, Deep Learning, Python, Docker",1782148,9,Education,2026
ML Engineer,"Deep Learning, Java, Docker, Pandas, C++",687156,9,Finance,2023
Software Engineer,"SQL, C++, Tableau, Java",1873888,4,Finance,2023
Software Engineer,"Power BI, SQL, Deep Learning",749119,9,Finance,2024
Data Analyst,"Pandas, Deep Learning, SQL, Power BI",1029307,2,Education,2025
Cloud Engineer,"Java, C++, Pandas",1546044,1,IT,2023
Data Scientist,"MLOps, Power BI, Tableau, Java, Pandas",1486013,8,Education,2026
Cloud Engineer,"Machine Learning, Deep Learning, C++",1422970,4,Education,2024
Cybersecurity Analyst,"SQL, Machine Learning, Power BI",561704,3,Education,2026
Cybersecurity Analyst,"GenAI, SQL, Power BI, MLOps",1309527,9,IT,2026
AI Engineer,"SQL, Java",1642478,10,Retail,2026
ML Engineer,"AWS, Tableau, C++",1568136,1,Finance,2024
Cloud Engineer,"Power BI, MLOps, GenAI",356606,6,Healthcare,2025
Data Scientist,"Machine Learning, Java, C++, GenAI",2314370,2,Finance,2026
Cybersecurity Analyst,"Tableau, NLP",1290308,6,IT,2024
AI Engineer,"Python, TensorFlow, AWS",1578317,9,Retail,2022
Cybersecurity Analyst,"TensorFlow, Machine Learning, AWS",1384962,6,Finance,2022
Cybersecurity Analyst,"C++, SQL, Java",1981826,3,Education,2026
ML Engineer,"MLOps, Tableau, TensorFlow, Deep Learning, Python",2145206,0,Education,2022
Data Analyst,"Tableau, GenAI",2096035,1,Education,2023
Cloud Engineer,"GenAI, Java, Deep Learning, Machine Learning",1658591,7,Healthcare,2025
Data Analyst,"Tableau, Docker, Pandas, TensorFlow, Python",1354463,9,Finance,2024
ML Engineer,"Python, Tableau, NLP, MLOps",2300280,2,Retail,2024
